,CustomerID,Gender,SeniorCitizen,Partner,Dependents,State,Latitude,Longitude,ZipCode,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,LTV_Segment
0,3668-QPYBK,Male,No,No,No,California,33.964131,-118.272783,90003,Yes,No,DSL,Yes,Yes,No,No,No,No,2,Month-to-month,Mailed check,Yes,53.85,108.15,Yes,Low
1,9237-HQITU,Female,No,No,Yes,California,34.059281,-118.30742,90005,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Electronic check,Yes,70.7,151.65,Yes,Low
2,9305-CDSKC,Female,No,No,Yes,California,34.048013,-118.293953,90006,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,8,Month-to-month,Electronic check,Yes,99.65,820.5,Yes,Low
3,7892-POOKP,Female,No,Yes,Yes,California,34.062125,-118.31570900000001,90010,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,28,Month-to-month,Electronic check,Yes,104.8,3046.05,Yes,Low
4,0280-XJGEX,Male,No,No,Yes,California,34.039224,-118.26629299999999,90015,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,49,Month-to-month,Bank transfer (automatic),Yes,103.7,5036.3,Yes,High
5,4190-MFLUW,Female,No,Yes,No,California,34.066367,-118.309868,90020,Yes,No,DSL,No,No,Yes,Yes,No,No,10,Month-to-month,Credit card (automatic),No,55.2,528.35,Yes,Low
6,8779-QRDMV,Male,Yes,No,No,California,34.02381,-118.156582,90022,No,No phone service,DSL,No,No,Yes,No,No,Yes,1,Month-to-month,Electronic check,Yes,39.65,39.65,Yes,Low
7,1066-JKSGK,Male,No,No,No,California,34.066303000000005,-118.435479,90024,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Mailed check,No,20.15,20.15,Yes,Low
8,6467-CHFZW,Male,No,Yes,Yes,California,34.099869,-118.326843,90028,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,47,Month-to-month,Electronic check,Yes,99.35,4749.15,Yes,High
9,8665-UTDHZ,Male,No,Yes,No,California,34.089953,-118.294824,90029,No,No phone service,DSL,No,Yes,No,No,No,No,1,Month-to-month,Electronic check,No,30.2,30.2,Yes,Low
10,8773-HHUOZ,Female,No,No,No,California,34.078821000000005,-118.177576,90032,Yes,No,DSL,No,No,No,No,Yes,Yes,17,Month-to-month,Mailed check,Yes,64.7,1093.1,Yes,Low
11,6047-YHPVI,Male,No,No,Yes,California,34.110845,-118.25959499999999,90039,Yes,No,Fiber optic,No,No,No,No,No,No,5,Month-to-month,Electronic check,Yes,69.7,316.9,Yes,Low
12,5380-WJKOV,Male,No,No,Yes,California,34.137412,-118.20760700000001,90041,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,34,Month-to-month,Electronic check,Yes,106.35,3549.25,Yes,Low
13,8168-UQWWF,Female,No,No,Yes,California,34.11572,-118.19275400000001,90042,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,11,Month-to-month,Bank transfer (automatic),Yes,97.85,1105.4,Yes,Low
14,7760-OYPDY,Female,No,No,Yes,California,33.987945,-118.370442,90056,Yes,No,Fiber optic,No,No,No,No,Yes,No,2,Month-to-month,Electronic check,Yes,80.65,144.15,Yes,Low
15,9420-LOJKX,Female,No,No,Yes,California,33.921279999999996,-118.27418600000001,90061,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,15,Month-to-month,Credit card (automatic),Yes,99.1,1426.4,Yes,Low
16,7495-OOKFY,Female,Yes,Yes,Yes,California,34.044271,-118.18523700000001,90063,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,8,Month-to-month,Credit card (automatic),Yes,80.65,633.3,Yes,Low
17,1658-BYGOY,Male,Yes,No,Yes,California,34.108833000000004,-118.22971499999998,90065,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,18,Month-to-month,Electronic check,Yes,95.45,1752.55,Yes,Low
18,5698-BQJOH,Female,No,No,Yes,California,34.063947,-118.38300100000001,90211,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,9,Month-to-month,Electronic check,No,94.4,857.25,Yes,Low
19,5919-TMRGD,Female,No,No,Yes,California,33.97803,-118.217141,90255,Yes,No,Fiber optic,No,No,No,No,Yes,No,1,Month-to-month,Electronic check,Yes,79.35,79.35,Yes,Low
20,9191-MYQKX,Female,No,Yes,Yes,California,33.923573,-118.20066899999999,90262,Yes,No,Fiber optic,No,No,Yes,No,No,No,7,Month-to-month,Bank transfer (automatic),Yes,75.15,496.9,Yes,Low
21,8637-XJIVR,Female,No,No,Yes,California,33.977468,-118.445475,90292,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,12,Month-to-month,Electronic check,Yes,78.95,927.35,Yes,Low
22,0278-YXOOG,Male,No,No,No,California,33.956445,-118.35863400000001,90301,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,5,Month-to-month,Mailed check,No,21.05,113.85,Yes,Low
23,4598-XLKNJ,Female,Yes,Yes,Yes,California,33.936291,-118.33263899999999,90303,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,25,Month-to-month,Electronic check,Yes,98.5,2514.5,Yes,Low
